Restaurant Name,,City,Address,Locality,,,,Cuisines,,,Has Table booking,Has Online delivery,,,,Aggregate rating,,Rating text
Shivam Corner,,New Delhi,"7, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,3,,Average
Swad Mubarak,,New Delhi,"Opposite ICICI Bank, Main Road, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,3,,Average
The Little Fork,,New Delhi,"1412, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,"Chinese, North Indian",,,No,Yes,,,,3.1,,Average
The Metro Fast Food,,New Delhi,"Next to Signature View Apartments, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,Chinese,,,No,Yes,,,,2.6,,Average
Tibet Kujing,,New Delhi,"165, Block C, Ground Floor, Gandhi Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,"Chinese, Tibetan",,,No,No,,,,2.9,,Average
Yummy Adda,,New Delhi,"1333, Near Batra Cinema, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,"North Indian, Mughlai",,,No,No,,,,3.5,,Good
Bawarchi's Canteen,,New Delhi,"Sewa Kutir Complex, Banda Bahadur Marg, Hakikat Nagar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Bikaner Restaurant,,New Delhi,"Shop 264, Near Hakikat Nagar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Bikaner Sweets Chaat cafe,,New Delhi,"G 25, Vardhman Central Mall, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,"Mithai, Street Food",,,No,No,,,,0,,Not rated
Brijwasi,,New Delhi,"Building 1A, Shop 2, Batra Cinema Complex, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,"North Indian, Chinese, South Indian",,,No,No,,,,0,,Not rated
Chaap Chaska,,New Delhi,"252/4, Parmanand Colony, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,"North Indian, Mughlai",,,No,No,,,,0,,Not rated
Delhi Chaap Express,,New Delhi,"Shop 16, Dhaka Mini Market, Parmanand Colony, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Delhi Chaat Bhandar,,New Delhi,"Indira Vikas Colony, Near Nirankari School, Mukherjee Nagar,  New Delhi",Mukherjee Nagar,,,,Street Food,,,No,No,,,,0,,Not rated
Delhite PÌ¢tisserie,,New Delhi,"413, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,Bakery,,,No,No,,,,0,,Not rated
Desi Dhaba,,New Delhi,"Indira Vikas Colony, Near Nirankari School, Indira Vikas Colony, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Desi Thaat Amritsari Naan,,New Delhi,"14/1, Indira Vikas Colony, Near Nirankari School, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Dhaba Express,,New Delhi,"Shop 10, DDA Market, A Block, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Flavours Kitchen,,New Delhi,"GF-1, A-12/13, Ansal Building, Commercial Complex, Near Batra Cinema, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,"North Indian, Mughlai, Chinese",,,No,No,,,,0,,Not rated
Food Campus,,New Delhi,"Plot 2706, Main Road, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Fresh Fast Food,,New Delhi,"G-92, Vardhman Central Mall, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Gungun Tiffin Services,,New Delhi,"Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Happy Italiano,,New Delhi,"Near Batra Cinema, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,Fast Food,,,No,No,,,,0,,Not rated
Haryana Bhojnalaya,,New Delhi,"G 26, Vardhman Central Mall, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Hasty Tasty,,New Delhi,"Opposite Batra Cinema, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,Chinese,,,No,No,,,,0,,Not rated
Inam Muradabadi,,New Delhi,"G-90, Vardhman Central Mall, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,Mughlai,,,No,No,,,,0,,Not rated
Just In,,New Delhi,"G-103, Vardhaman Mall, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Jyoti Dhaba,,New Delhi,"Opposite Vardhman Central Mall, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Lasha Chinese Food,,New Delhi,"Shop 69, Indra Vihar, Opposite Girls Hostel, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,Chinese,,,No,No,,,,0,,Not rated
Lasha Chinese Food,,New Delhi,"Shop 228, Block B, Central Park, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,Chinese,,,No,No,,,,0,,Not rated
Lily Tasty Fast Food,,New Delhi,"58, Indra Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,"North Eastern, North Indian, Chinese",,,No,No,,,,0,,Not rated
Maa Vaishno Dinesh Dhaba,,New Delhi,"B-5, Ansal Building, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Madras Cafe,,New Delhi,"B4 Ansal Building, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,"South Indian, Chinese",,,No,No,,,,0,,Not rated
NIK's Chicken Corner,,New Delhi,"G 88, Vardhman Central Mall, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Om Shanti Foods,,New Delhi,"G-23, Vardhman Central Mall, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Panj Tara,,New Delhi,"A-17, Behind Batra Cinema Complex, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Pasta Pizza & Roll Hut,,New Delhi,"4/10, Indra Vikas Colony, Nirankari Bhavan, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,"Italian, Fast Food",,,No,No,,,,0,,Not rated
Pheva Tandooris,,New Delhi,"Batra Complex, Near UCO Bank, Mukherjee Nagar",Mukherjee Nagar,,,,"North Indian, Chinese",,,No,No,,,,0,,Not rated
Punjabi Delight,,New Delhi,"863, Gandhi Nagar Road, Near Batra Cinema, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Punjabi Parantha Station and Punjabi Thali,,New Delhi,"Behind Batra Cinema, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Punjabi Paratha Station,,New Delhi,"Near ICICI Bank, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Raja Rasoi,,New Delhi,"Vardhman Central Mall, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Rollacious,,New Delhi,"834, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,Fast Food,,,No,No,,,,0,,Not rated
Singh Chicken,,New Delhi,"Opposite Batra Cinema, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Special Tea Point,,New Delhi,"Ground Floor, Vardhman Central Mall, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,"Street Food, North Indian",,,No,No,,,,0,,Not rated
Spl. Flavour Sodas & Fruit shakes,,New Delhi,"318, Bhai Parmanand Colony, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,Juices,,,No,No,,,,0,,Not rated
Student Corner,,New Delhi,"G-94, Vardhman Central Mall, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,Fast Food,,,No,No,,,,0,,Not rated
Taneja Corner,,New Delhi,"Vardhman Central Mall, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Taste Zone,,New Delhi,"Opposite Vardhman Central Mall, Nehru Vihar, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,North Indian,,,No,No,,,,0,,Not rated
Tea Point,,New Delhi,"Opposite Batra Cinema Complex, Mukherjee Nagar",Mukherjee Nagar,,,,"Beverages, Fast Food",,,No,No,,,,0,,Not rated
West Bangal Kolkata Hot Kathi Rolls,,New Delhi,"Shop 6, Near Batra Cinema, Mukherjee Nagar, New Delhi",Mukherjee Nagar,,,,Fast Food,,,No,No,,,,0,,Not rated
Asli Alam Muradabadi Biryani Centre,,New Delhi,"208, Dr Kapoor Wali Gali, Munirka, New Delhi",Munirka,,,,Biryani,,,No,No,,,,2.8,,Average
Cafe Rasoi,,New Delhi,"Shop 7&8, Rama Market, Munirka Village, Munirka, New Delhi",Munirka,,,,North Indian,,,No,No,,,,3.2,,Average
Chinese Food,,New Delhi,"92/G1, Ground Floor, Outer Ring Road, Pratap Market, Munirka, New Delhi",Munirka,,,,"Fast Food, Street Food, Chinese",,,No,No,,,,2.9,,Average
Green Chick Chop,,New Delhi,"Shop 9, Shopping Complex, DDA Marg, Near Canara Bank, Munirka, New Delhi",Munirka,,,,"Raw Meats, North Indian, Fast Food",,,No,No,,,,2.9,,Average
Hasty Tasty,,New Delhi,"DDA Flats, Super Bazar, Munirka, New Delhi",Munirka,,,,"Chinese, Fast Food",,,No,No,,,,3.3,,Average
Hunter's Kitchen,,New Delhi,"253, B-1, Ground Floor, Behind Multi Level Parking, Rama Market, Munirka Village, Munirka, New Delhi",Munirka,,,,"North Eastern, North Indian",,,Yes,No,,,,3,,Average
Manahang Restaurant,,New Delhi,"230-B, Munirka, New Delhi",Munirka,,,,"Chinese, North Indian",,,No,No,,,,3.2,,Average
Mezbaan Restaurant,,New Delhi,"383/1-B, Mir Singh Complex, Munirka, New Delhi",Munirka,,,,"North Indian, Mughlai, Chinese",,,No,Yes,,,,3.4,,Average
Moon Light Sweets,,New Delhi,"Shop 1-A, Shopping Centre 2, DDA Flats, Munirka, New Delhi",Munirka,,,,"Mithai, Street Food",,,No,No,,,,3.3,,Average
North East Castle,,New Delhi,"Shop 7, Capital Court, Munirka, New Delhi",Munirka,,,,Cafe,,,No,No,,,,2.9,,Average
Pizza Point,,New Delhi,"Baba Gang Nath Market, Munirka, New Delhi",Munirka,,,,"Fast Food, Pizza",,,No,No,,,,2.9,,Average
Roll Point,,New Delhi,"551, Munirka, New Delhi",Munirka,,,,Fast Food,,,No,No,,,,2.8,,Average
Sanjha Tandoor,,New Delhi,"Shop 2, DDA Shopping Complex, Phase II, Munirka, New Delhi",Munirka,,,,"North Indian, Mughlai",,,No,No,,,,2.8,,Average
Sayyam,,New Delhi,"209-B, Baba Ganga Nath Market, Munirka, New Delhi",Munirka,,,,Chinese,,,No,No,,,,2.7,,Average
Shiv Bhojnalaya,,New Delhi,"92-G/1, Partap Market, Munirka, New Delhi",Munirka,,,,"South Indian, North Indian, Fast Food",,,No,No,,,,2.8,,Average
Subway,,New Delhi,"250-B/2, Opposite Vasant Vihar Bus Depot, Munirka, New Delhi",Munirka,,,,"American, Fast Food, Salad, Healthy Food",,,No,Yes,,,,3.4,,Average
Take Away,,New Delhi,"551-A, Munirka, New Delhi",Munirka,,,,Chinese,,,No,No,,,,2.9,,Average
Vedanta's,,New Delhi,"209-B/3, SS Rathi Complex, BGN Market, Munirka, New Delhi",Munirka,,,,"North Indian, Chinese",,,No,No,,,,2.7,,Average
Asian Chopstick,,New Delhi,"Shop 2, 352-D, Gym Building, Munirka, New Delhi",Munirka,,,,"Chinese, Thai",,,No,No,,,,3.5,,Good
Chinese Delights,,New Delhi,"12, DDA Commercial Complex, Munirka, New Delhi",Munirka,,,,"Chinese, North Indian",,,No,Yes,,,,3.5,,Good
Dezertfox,,New Delhi,"Ko352/E15,  Village, Munirka, New Delhi",Munirka,,,,"Bakery, Desserts",,,No,Yes,,,,3.7,,Good
Aggarwal Sweets,,New Delhi,"Munirka Shopping Complex, Behind Multilevel Parking, Munirka, New Delhi",Munirka,,,,"Mithai, Street Food",,,No,No,,,,0,,Not rated
Aggarwal Sweets,,New Delhi,"Shop 1, Main Rama Market, Munirka, New Delhi",Munirka,,,,"Mithai, Street Food",,,No,No,,,,0,,Not rated
Al Meraj Chicken Shop,,New Delhi,"249, Rama Market, Munirka Village, Munirka, New Delhi",Munirka,,,,"Awadhi, Mughlai",,,No,No,,,,0,,Not rated
Chinese Food Corner,,New Delhi,"179, Near Jain Sweet, Munirka, New Delhi",Munirka,,,,"Chinese, North Indian",,,No,No,,,,0,,Not rated
Creative Food House,,New Delhi,"249, Rama Market, Munirka Village, Munirka, New Delhi",Munirka,,,,"Continental, Chinese, North Indian",,,No,No,,,,0,,Not rated
D.A.A.,,New Delhi,"236, Munirka Village Baburam Chowk, Munirka, New Delhi",Munirka,,,,Chinese,,,No,No,,,,0,,Not rated
Dee Cake Shop,,New Delhi,"336, Munirka, New Delhi",Munirka,,,,Bakery,,,No,No,,,,0,,Not rated
Jaca Restaurant,,New Delhi,"212-A, Six-Ten Building, Munirka, New Delhi",Munirka,,,,"North Indian, Chinese",,,No,No,,,,0,,Not rated
King Of Roll,,New Delhi,"Dr. Kapoor Wali Gali, Munirka, New Delhi",Munirka,,,,Fast Food,,,No,No,,,,0,,Not rated
Kirti Food Plaza,,New Delhi,"C-249, Rama Market, Munirka, New Delhi",Munirka,,,,North Indian,,,No,No,,,,0,,Not rated
KT's Shik-Shack,,New Delhi,"F-92, Hanuman Market, Munirka, New Delhi",Munirka,,,,Street Food,,,No,No,,,,0,,Not rated
Namaste Restaurant,,New Delhi,"Dr Kapoorwali Gali, Munirka, New Delhi",Munirka,,,,Chinese,,,No,No,,,,0,,Not rated
Nishaj Chicken Corner,,New Delhi,"Shop 138, Dr. Kapoor Wali Gali, Munirka, New Delhi",Munirka,,,,North Indian,,,No,No,,,,0,,Not rated
Royal Bakery,,New Delhi,"F- 92, Hanuman Market, Munirka, New Delhi",Munirka,,,,"Bakery, Desserts",,,No,No,,,,0,,Not rated
S.R. Bakers,,New Delhi,"Shop 210, Munirka Village, Munirka, New Delhi",Munirka,,,,Bakery,,,No,No,,,,0,,Not rated
Shahi Muradabadi,,New Delhi,"247/A, Rama Market, Munirka, New Delhi",Munirka,,,,Mughlai,,,No,No,,,,0,,Not rated
Shree Vinayaga Restaurant,,New Delhi,"K-92, Bank Street, Munirka, New Delhi",Munirka,,,,South Indian,,,No,No,,,,0,,Not rated
The Cake Basket,,New Delhi,"Rama Shopno.4 Market Munirka, Munirka, New Delhi",Munirka,,,,Bakery,,,No,No,,,,0,,Not rated
The Pure Kitchen,,New Delhi,"Near Pal Dairy, Opposite JNU, Munirka Vihar, Munirka, New Delhi",Munirka,,,,"Chinese, Continental, North Indian",,,No,No,,,,0,,Not rated
The Yolmo Kitchen,,New Delhi,"Rama Market, Near Slice of Italy, Munirka, New Delhi",Munirka,,,,Chinese,,,No,No,,,,0,,Not rated
Zawlbuk,,New Delhi,"212, Munirka, New Delhi",Munirka,,,,Tibetan,,,No,No,,,,0,,Not rated
Anupam Restaurant,,New Delhi,"205-F, Main Road, Furniture Market, Munirka, New Delhi",Munirka,,,,"North Indian, Chinese",,,No,Yes,,,,2.3,,Poor
Bobby Di Punjabi Rasoi,,New Delhi,"22, Near Health Centre, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,2.9,,Average
Aditya Da Vaishno Dhaba,,New Delhi,"Arjun Park, Near Metro Pillar 58, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
Aggarwal Bikaner Sweets,,New Delhi,"Gurgaon Road, Near Aggarwal Medicos, Najafgarh, New Delhi",Najafgarh,,,,Mithai,,,No,No,,,,0,,Not rated
Aggarwal Sweet Centre,,New Delhi,"1675, Chhawla Bus Stand, Mittal Market, Najafgarh, New Delhi",Najafgarh,,,,Mithai,,,No,No,,,,0,,Not rated
Anjel China & Tibetian Food,,New Delhi,"Chawla Gurgaon Road, Najafgarh, New Delhi",Najafgarh,,,,"Tibetan, Chinese",,,No,No,,,,0,,Not rated
Annpurna Rasoi,,New Delhi,"Rz-11/12, Najafgarh Nagloi Road, Najafgarh, New Delhi",Najafgarh,,,,"North Indian, Fast Food",,,No,No,,,,0,,Not rated
Apni Rasoi,,New Delhi,"Plot 2, Shyam Enclave, Main Goyla Road, Deen Pur, Najafgarh, New Delhi",Najafgarh,,,,"Mughlai, North Indian",,,No,No,,,,0,,Not rated
Bajrang Misthan Bhawan,,New Delhi,"Main Paprawat Road, Najafgarh, New Delhi",Najafgarh,,,,Mithai,,,No,No,,,,0,,Not rated
Bake Town,,New Delhi,"A-9, Laxmi Garden, Tuda Mandi, Najafgarh, New Delhi",Najafgarh,,,,"Bakery, Chinese",,,No,No,,,,0,,Not rated
Bikaner Sweets & Restaurant,,New Delhi,"Near Khaira Mod, Bahadurgarh Road, Najafgarh, New Delhi",Najafgarh,,,,"Mithai, South Indian, Street Food",,,No,No,,,,0,,Not rated
Brown Town Bakers,,New Delhi,"RZ-20-21, Old Roshan Pura, Parawat Road, Near Post Office, Chawla Stand, Najafgarh, New Delhi",Najafgarh,,,,"Desserts, Fast Food",,,No,No,,,,0,,Not rated
Captain Food Factory,,New Delhi,"1620-B/2 Opposite HDFC Bank, Thana Road,Najafgarh, New Delhi",Najafgarh,,,,Chinese,,,No,No,,,,0,,Not rated
Cheffron Bakery,,New Delhi,"B-26, Gopal Nagar, Main Dhansa Road, Najafgarh, New Delhi",Najafgarh,,,,Bakery,,,No,No,,,,0,,Not rated
Chicken Darwar,,New Delhi,"CRPF Camp, Najafgarh, New Delhi",Najafgarh,,,,"Fast Food, Mughlai",,,No,No,,,,0,,Not rated
Chili's Treat,,New Delhi,"1247, 1/4 Thana Road, Opposite Oriental Bank of Commerce, Najafgarh, New Delhi",Najafgarh,,,,"North Indian, Chinese",,,No,No,,,,0,,Not rated
Chilli Tadka,,New Delhi,"Laxmi Vatika, Nagloi Road, Jal Vihar Bus Stand, Najafgarh, New Delhi",Najafgarh,,,,"Chinese, Fast Food",,,No,No,,,,0,,Not rated
Chinese Food Point,,New Delhi,"Opposite BDO Office, Gurgaon Road, Roshan Pura, Najafgarh, New Delhi",Najafgarh,,,,Chinese,,,No,No,,,,0,,Not rated
Chinese Temptation,,New Delhi,"Near Delhi Gate, Najafgarh, New Delhi",Najafgarh,,,,"Chinese, Fast Food",,,No,No,,,,0,,Not rated
Dana Pani,,New Delhi,"Gemini Park, Near Metro Pillar 63, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
Dev Sweets & Restaurant,,New Delhi,"Main Goyla, Deenpur Road, Near 25 Feet Road, Shyam Vihar, Najafgarh, New Delhi",Najafgarh,,,,"North Indian, Chinese, South Indian",,,No,No,,,,0,,Not rated
Dilli Darbar Chicken Point,,New Delhi,"Deenpur Gurgaon, Najafgarh, New Delhi",Najafgarh,,,,Mughlai,,,No,No,,,,0,,Not rated
Food Point and Sweets Corner,,New Delhi,"Near Tura Mandi, Old Kakrola Road, Najafgarh, New Delhi",Najafgarh,,,,"South Indian, Fast Food, North Indian, Chinese",,,No,No,,,,0,,Not rated
Green Chick Chop,,New Delhi,"RZ 4, Pillar 31, Roshanpura, Gurgaon Road, Najafgarh, New Delhi",Najafgarh,,,,"Raw Meats, North Indian, Fast Food",,,No,No,,,,0,,Not rated
Grover Burfee & Cakes,,New Delhi,"301/1, Gaushala Road, Navada Bazar, Najafgarh, New Delhi",Najafgarh,,,,"Bakery, Chinese",,,No,No,,,,0,,Not rated
Hans's Planet-F,,New Delhi,"Gurgaon Road, Near Aggarwal Medicos, Najafgarh, New Delhi",Najafgarh,,,,"Chinese, Fast Food, North Indian",,,No,No,,,,0,,Not rated
Hotel Delhi 43,,New Delhi,"Nagloi, Near Nirmal Vihar, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,Yes,No,,,,0,,Not rated
Kanhaiya Fast Food,,New Delhi,"Shop 21, Bhagat Singh Market, Najafgarh, New Delhi",Najafgarh,,,,"Chinese, Fast Food",,,No,No,,,,0,,Not rated
Karol Bagh Ke Chhole Bhature,,New Delhi,"Opposite Peer Baba, Gurgaon Road, Roshan Pura, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
King's Food,,New Delhi,"Plot 2-A, Gopal Nagar Extension, Near Goodwil School, Surakhpur Road, Najafgarh, New Delhi",Najafgarh,,,,Chinese,,,No,No,,,,0,,Not rated
Lamba Sweets Corner,,New Delhi,"Khaira Mod, Najafgarh, New Delhi",Najafgarh,,,,"Mithai, Street Food",,,No,No,,,,0,,Not rated
Laxmi Food Corner,,New Delhi,"Opposite BSES Office Najafgarh, Najafgarh, New Delhi",Najafgarh,,,,"Fast Food, North Indian",,,No,No,,,,0,,Not rated
Lounge Bakery,,New Delhi,"Goyala Road, Shyam Vihar Phase 2, Najafgarh, New Delhi",Najafgarh,,,,Bakery,,,No,No,,,,0,,Not rated
Mehtaab Sweet Corner & Restaurant,,New Delhi,"Vinoba Enclave, Bahadurgarh Road, CRPF Camp, Najafgarh, New Delhi",Najafgarh,,,,"North Indian, Chinese, Street Food",,,No,No,,,,0,,Not rated
Melting Food Point,,New Delhi,"Opposite Gyan Jyoti Public School, Gurgaon Road, Chhawla, Najafgarh, New Delhi",Najafgarh,,,,Chinese,,,No,No,,,,0,,Not rated
Mithla Dhabha,,New Delhi,"Baba Haridas Market, Chara Mandi Chowk, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
Mittal Caterer,,New Delhi,"Near Chhawala Bus Stand, Najafgarh, New Delhi",Najafgarh,,,,"Street Food, South Indian, Mithai",,,No,No,,,,0,,Not rated
Mittal Restaurant & Fast Food,,New Delhi,"32/4, Chawla Stand, Najafgarh, New Delhi",Najafgarh,,,,"Fast Food, South Indian, Mithai",,,No,No,,,,0,,Not rated
NBC Nirankari Bakers,,New Delhi,"Khaira Mod, Near Suraj Cinema, Opposite Janta Xray Lab, Najafgarh, New Delhi",Najafgarh,,,,"Pizza, Fast Food, Bakery",,,No,No,,,,0,,Not rated
Pind Balluchi,,New Delhi,"4-B/16, Najafgarh Road, Najafgarh, New Delhi",Najafgarh,,,,"North Indian, Mughlai",,,Yes,No,,,,0,,Not rated
Prem Chinese Fast Food,,New Delhi,"Main Dhansa Road, Near Nanak Pyaoo, Najafgarh, New Delhi",Najafgarh,,,,Chinese,,,No,No,,,,0,,Not rated
Punjabi Rasoi,,New Delhi,"CRPF Camp, Jharoda Road, Najafgarh, New Delhi",Najafgarh,,,,Fast Food,,,No,No,,,,0,,Not rated
Punjabi Special,,New Delhi,"Shop 35-36, Dwarka Vihar, C Block, Near Radha Krishna Vatika, Old Kakrola Road, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
Radhe Shyam Dhaba,,New Delhi,"Main Dhansa Road, Near Nanak Pyaoo, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
Raj Rasoi,,New Delhi,"9, Roshan Garden, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
Raju De Special Paneer Wale,,New Delhi,"1506, Chawla Stand, Gaushala Road, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
Sangeeta Dhaba,,New Delhi,"Plot 1, Nagli Sakravati Chowk, Opposite Metro Pillar 71, Main Uttam Nagar Road, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
Sat Narayan Fast Food,,New Delhi,"Dhansa Mod, Najafgarh, New Delhi",Najafgarh,,,,"Mithai, Chinese",,,No,No,,,,0,,Not rated
Shahi Chicken Point,,New Delhi,"Deenpur, Gurgaon Road, Najafgarh, New Delhi",Najafgarh,,,,Mughlai,,,No,No,,,,0,,Not rated
Sharma Sweets,,New Delhi,"Shop 1, Nangloi Stand, Najafgarh, New Delhi",Najafgarh,,,,"Mithai, Street Food",,,No,No,,,,0,,Not rated
Shere Hind Chicken Corner,,New Delhi,"Chhawla Stand, Najafgarh, New Delhi",Najafgarh,,,,Mughlai,,,No,No,,,,0,,Not rated
Shiv Shakti Dhaba,,New Delhi,"Near Kakrola Road, Tura Mandi, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
Shree Shyam Sweets,,New Delhi,"Gurgaon Road, Najafgarh, New Delhi",Najafgarh,,,,Street Food,,,No,No,,,,0,,Not rated
Shri Shyam Ji Shudh Shakahari Bhojnalaya,,New Delhi,"Khaira Mod, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
Sky Hawk,,New Delhi,"RZ-132, 1st Floor, Near Reliance Fresh, New Roshanpura, Najafgarh, New Delhi",Najafgarh,,,,"North Indian, Chinese, Continental",,,No,No,,,,0,,Not rated
Snack Shack,,New Delhi,"Opposite Sri Ram International School, Main Dhansa Road, Najafgarh, New Delhi",Najafgarh,,,,"North Indian, Chinese",,,No,No,,,,0,,Not rated
Soya Bite's,,New Delhi,"Furniture Market, Near Krishan Mandir, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
Soya Bite's,,New Delhi,"9, Roshan Garden, Main Tura Mandi Chowk, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
Taj Mahal Dhaba,,New Delhi,"Deenpur Main Goyla Mod, Najafgarh, New Delhi",Najafgarh,,,,North Indian,,,No,No,,,,0,,Not rated
Yadav Sweets,,New Delhi,"Opposite Shri Ram Gate, Near Sabji Mandi, Najafgarh, New Delhi",Najafgarh,,,,Mithai,,,No,No,,,,0,,Not rated
Yummy Chinese Food,,New Delhi,"Opposite Vidhata Properties, Shyam Vihar Phase 2, Najafgarh, New Delhi",Najafgarh,,,,Chinese,,,No,No,,,,0,,Not rated
Aggarwal Sweets Corner,,New Delhi,"E-2 Block, Near Park Mandir Marg, Sultanpuri, Nangloi, New Delhi",Nangloi,,,,Mithai,,,No,No,,,,0,,Not rated
Anand Sweets,,New Delhi,"Sultanpuri Mod Market, Nangloi, New Delhi",Nangloi,,,,"Mithai, Street Food",,,No,No,,,,0,,Not rated
Annapurna Sweets Palace,,New Delhi,"K-1249, Opposite Sanjay Gandhi Hospital, Mangolpuri, Nangloi, New Delhi",Nangloi,,,,"Mithai, Street Food",,,No,No,,,,0,,Not rated
Aujla's Punjabi Zaika,,New Delhi,"A-120, Shop 4, Uday Vihar, Chander Vihar, Nangloi, New Delhi",Nangloi,,,,"North Indian, Chinese, Mughlai",,,No,No,,,,0,,Not rated
Baba Ji,,New Delhi,"Near Naresh Park, Najafgarh Road, Nangloi, New Delhi",Nangloi,,,,Fast Food,,,No,No,,,,0,,Not rated
Babu Soup Wala,,New Delhi,"Near Flyover, Rohtak Road, Nangloi, New Delhi",Nangloi,,,,North Indian,,,No,No,,,,0,,Not rated
